BinCenter (ps);Histo01;Histo02;Histo03;Histo04
0,5;10386;10386;0;0
1,5;9940;10728;0;0
2,5;9538;11204;0;0
3,5;9051;11460;0;0
4,5;8609;11928;0;0
5,5;8365;12407;0;0
6,5;7924;12554;0;0
7,5;7376;12898;0;0
8,5;7102;13129;0;0
9,5;6733;13300;0;0
10,5;6330;13869;0;0
11,5;6152;14151;0;0
12,5;5540;14449;0;0
13,5;5189;14809;0;0
14,5;4816;14915;0;0
15,5;4561;15210;0;0
16,5;4238;15635;0;0
17,5;4117;15560;0;0
18,5;3732;15973;0;0
19,5;3471;16097;0;0
20,5;3157;16326;0;0
21,5;2984;16196;0;0
22,5;2770;16605;0;0
23,5;2554;16655;0;0
24,5;2389;16939;0;0
25,5;2113;16860;0;0
26,5;1966;16999;0;0
27,5;1775;17177;0;0
28,5;1660;17737;0;0
29,5;1494;17751;0;0
30,5;1428;18050;0;0
31,5;1238;18067;0;0
32,5;1198;17964;0;0
33,5;1057;18249;0;0
34,5;928;18183;0;0
35,5;858;18409;0;0
36,5;794;18469;0;0
37,5;694;18406;0;0
38,5;665;18725;0;0
39,5;579;18893;0;0
40,5;489;18704;0;0
41,5;475;18710;0;0
42,5;433;18956;0;0
43,5;386;19302;0;0
44,5;317;19015;0;0
45,5;326;19127;0;0
46,5;302;19313;0;0
47,5;221;19522;0;0
48,5;215;19217;0;0
49,5;182;19451;0;0
50,5;192;19818;0;0
51,5;143;19486;0;0
52,5;134;19577;0;0
53,5;117;19912;0;0
54,5;104;19589;0;0
55,5;77;19779;0;0
56,5;72;20183;0;0
57,5;64;19940;0;0
58,5;63;19751;0;0
59,5;60;19820;0;0
60,5;45;20186;0;0
61,5;41;19897;0;0
62,5;44;20299;0;0
63,5;35;20084;0;0
64,5;40;20113;0;0
65,5;27;20010;0;0
66,5;27;20132;0;0
67,5;23;20058;0;0
68,5;19;19946;0;0
69,5;17;20167;0;0
70,5;20;20178;0;0
71,5;21;20383;0;0
72,5;16;19945;0;0
73,5;13;20383;0;0
74,5;15;20188;0;0
75,5;8;19928;0;0
76,5;11;20114;0;0
77,5;11;20190;0;0
78,5;6;20230;0;0
79,5;10;20266;0;0
80,5;11;19999;0;0
81,5;3;20147;0;0
82,5;9;20036;0;0
83,5;6;20234;0;0
84,5;6;20035;0;0
85,5;5;20178;0;0
86,5;7;20334;0;0
87,5;12;19899;0;0
88,5;5;20088;0;0
89,5;4;20114;0;0
90,5;6;20197;0;0
91,5;2;20251;0;0
92,5;5;20011;0;0
93,5;7;19903;0;0
94,5;4;20089;0;0
95,5;9;20062;0;0
96,5;5;20148;0;0
97,5;8;19795;0;0
98,5;5;19812;0;0
99,5;10;19856;0;0
